term,estimate,std.error,statistic,p.value
(Intercept),1.7744384068926145,0.10117019951050708,17.53914112533038,5.615249209967562e-68
age,-0.005083204862197186,0.009099460364059328,-0.5586270678505968,0.5764272454534851
is_bullied,0.003927217513872805,0.013591726176341797,0.2889417769987633,0.7726311920157254
sexF,-0.19280568553497224,0.014246596695535359,-13.533455719666316,2.0728970161724905e-41
age:is_bullied,-3.8878855940664806e-4,0.0011982629685494154,-0.3244601307151342,0.7455956608352172
